THE BILLBOARD ROCK CHART (STONEMASON'S WEEKLY REPORT)

Stone            Mossiness  Owner            Last Wielded  Immune?
-------------    ---------  ---------------  ------------  -------
Power                    2  Agora            2022-10-02    Agora
Soul                     2  Agora            2021-02-14    Agora
Sabotage                 2  Agora            2022-09-25    Agora
Jockey                   0  Murphy           2022-11-06
Protection               2  G.               2021-12-29
Recursion                2  Agora            2022-11-06    Agora
Hot Potato               0  Agora            2022-12-19    Agora
Blank                    2  Agora                          Agora
Mason's                  0  Janet
Anti-Equatorial          0  snail
Score                    0  snail            2023-01-16

Summary of stone functions:

Power            A specified player's strength is increased by 3 on a
                 specified Agoran decision.

Soul             A specified non-immune stone is stolen by the
                 wielder, then the Soul Stone is transferred to the
                 robbed player.

Sabotage         The AI of a specified AI-majority decision is
                 increased by 1.

Jockey           A specified Running horse's Race Position is increased by
                 1.

Protection       A specified stone becomes immune (until the next
                 Collection Notice).

Recursion        Can be wielded as any other stone.

Hot Potato       Gain 8 boatloads of coins if transferred to a player who
                 has not owned the stone since the last time Agora owned
                 it.

Blank            Does nothing.

Mason's          If owned by Agora, automatically transferred to Stonemason.
                 Never escapes.

Anti-Equatorial  Steals the mossiest stone, then increases its own mossiness
                 by one.

Score            A specified player's score is increased by 3.

History:
=======
2023-01-22 17:50:04  Murphy transfers Jockey Stone from Agora to self, resetting mossiness.
2023-01-16 05:29:53  snail wields Anti-Equatorial Stone. (No effect per CFJ 4003.)
2023-01-16 05:29:53  snail transfers Anti-Equatorial Stone from Agora to self, resetting mossiness.
2023-01-16 01:21:34  snail wields Score Stone.
2023-01-09 05:29:53  snail wields Score Stone.
2023-01-09 05:29:53  snail transfers Score Stone from Agora to self, resetting mossiness.
2023-01-01 21:30:15  Protection Stone ceaess being immune after collection notice.
2023-01-01 21:30:15  Hot Potato Stone is transferred from Shy Owl to Agora per collection notice.
2023-01-01 21:30:15  Mason's Stone's mossiness automatically reset to 0.
2023-01-01 21:30:15  Collection notice.
2022-12-29 23:02:40  G. wields Protection Stone, specifying Protection Stone.
2022-12-19 03:04:05  snail wields Hot Potato Stone, transferring it to Shy Owl, and resetting mossiness.
2022-12-19 03:04:05  snail transfers Hot Potato Stone from Agora to self, resetting mossiness.
2022-12-04 20:12:05  Protection Stone ceases being immune after collection notice.
2022-12-04 20:12:05  Mason's Stone's mossiness automatically reset to 0.
2022-12-04 20:12:05  Collection notice.
2022-11-30 17:41:19  G. wields Protection Stone, specifying Protection Stone.
2022-11-26 19:33:45  Mason's Stone is automatically transferred from Agora to Janet.
2022-11-26 19:33:45  P8867 takes effect, changing the set of Stones, and setting all Mossiness values to 0.
2022-11-07 02:56:14  Jockey Stone is transferred from snail to Agora per collection notice.
2022-11-07 02:56:14  Recursion Stone is transferred from snail to Agora per collection notice.
2022-11-07 02:56:14  Power Stone is transferred from Janet to Agora per collection notice.
2022-11-06 20:10:22  snail wields Recursion Stone, specifying Jockey Stone, specifying Fargo.
2022-11-06 20:10:22  snail wields Jockey Stone, specifying Fargo.
2022-10-31 12:38:35  Blank Stone is transferred from Trigon to Agora after deregistration.
2022-10-17 03:00:08  Recursion Stone is transferred to snail from Agora in auction resolution.
2022-10-17 03:00:08  Jockey Stone is transferred to snail from Agora in auction resolution.
2022-10-05 03:58:08  Protection Stone ceases being immune after collection notice.
2022-10-05 03:58:08  Tasty Stone is transferred from Janet to snail per collection notice.
2022-10-05 03:58:08  Sabotage Stone is transferred from Janet to Agora per collection notice.
2022-10-05 03:58:08  Wealth Stone is transferred from Janet to Agora per collection notice.
2022-10-02 23:07:35  G. wields Protection Stone, specifying Protection Stone.
2022-10-02 22:39:35  Janet wields Power Stone, specifying self.
2022-10-02 22:39:35  Janet wields Wealth Stone, specifying self.
2022-09-25 05:56:52  Janet wields the Sabotage Stone, specifying referendum on Proposal 8557.
2022-09-25 05:56:52  Janet wields the Wealth Stone, specifying self.
2022-09-25 05:56:52  Janet wields the Power Stone, specifying self.
2022-09-18 18:22:29  Janet wields Wealth Stone, specifying self.
2022-09-11 22:19:33  Janet wields Wealth Stone, specifying self.
